uri,id,label,description,created_at,cluster_id
https://orkg.org/property/P58019,P58019,F1-score,,2022-06-19T06:43:38.060149Z,276
https://orkg.org/property/P58018,P58018,dataset recall,,2022-06-19T06:43:10.780342Z,277
https://orkg.org/property/P58009,P58009,dataset accuracy,,2022-06-19T06:38:29.080646Z,279
https://orkg.org/property/P25052,P25052,achieve,,2020-07-16T10:47:41.494488+02:00,280
https://orkg.org/property/SCHEMAORG:description,SCHEMAORG:description,description,The description of the item to make it understandable by human,2022-08-09T09:11:51.297138Z,281
https://orkg.org/property/P174318,P174318,interaction data,,2025-05-16T20:47:53.552085261+02:00,282
https://orkg.org/property/P45100,P45100,interaction type,The Action representing the type of interaction.,2022-02-27T12:03:37.325147+01:00,283
https://orkg.org/property/P174208,P174208,interaction count,,2025-05-15T23:50:53.241005734+02:00,285
https://orkg.org/property/P174233,P174233,interactivity,,2025-05-15T23:50:54.99568519+02:00,286
https://orkg.org/property/P57036,P57036,survey,Activity in which many people are asked a question or a series of questions in order to gather information about what most people do or think about something. ,2022-06-03T12:04:27.550334Z,288
