uri,id,label,description,created_at
https://orkg.org/property/P97105,P97105,first prize comment,The comments giving more information on the team that won the first prize,2023-02-04T11:29:55.726548Z
https://orkg.org/property/P97106,P97106,second prize comment,The comments giving more information on the team that won the second prize,2023-02-04T11:30:31.083895Z
https://orkg.org/property/P97107,P97107,third prize comment,The comments giving more information on the team that won the third prize,2023-02-04T11:30:59.659029Z
https://orkg.org/property/wikidata:P859,wikidata:P859,sponsor,,2023-02-04T11:32:26.870907Z
https://orkg.org/property/P97108,P97108,# core participant,Number of participants who completed a certain number of tasks in a challenge,2023-02-04T11:35:50.891641Z
https://orkg.org/property/P97109,P97109,# table,"Number of table (e.g., CSV tables) in a dataset",2023-02-04T11:41:52.100789Z
https://orkg.org/property/P97110,P97110,Knowledge Graph used for annotation,Knowledge Graph used to annotate a resource,2023-02-04T11:43:32.562574Z
https://orkg.org/property/P97111,P97111,# column,The number of columns in a tabular dataset,2023-02-04T11:48:53.89106Z
https://orkg.org/property/P97112,P97112,# row,The number of row of a tabular dataset,2023-02-04T11:49:28.642204Z
https://orkg.org/property/P97113,P97113,# classes,Number of classes of a tabular dataset,2023-02-04T11:49:50.724488Z
https://orkg.org/property/P97114,P97114,# predicate,Number of predicates in a tabular dataset,2023-02-04T11:50:20.559293Z
https://orkg.org/property/P97115,P97115,# entity,Number of entities in a dataset,2023-02-04T11:50:56.20043Z
https://orkg.org/property/P97116,P97116,Aligned with FAIR principles,Specify if a resource aligned with the FAIR principle,2023-02-04T11:53:39.790213Z
